                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.8378,                0.70715,                 1.0209,                 0.9002,                0.82011,                0.88452,                0.73282,                0.73591,                0.54137,                0.93042,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.81868,                0.68842,                 1.0307,                0.90286,                0.82112,                0.88633,                0.73568,                0.73565,                0.53979,                0.93049,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                 0.8116,                 0.6943,                 1.0316,                0.90783,                0.81887,                0.88668,                0.73465,                0.73542,                0.53543,                 0.9304,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81214,                0.68295,                 1.0288,                0.91029,                0.81864,                 0.8877,                0.73923,                0.73369,                 0.5326,                0.92932,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.81296,                0.67704,                 1.0197,                0.90293,                 0.8182,                0.88846,                0.74011,                 0.7315,                0.53088,                0.92768,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82834,                0.70114,                 1.0263,                0.90838,                0.81627,                0.88815,                0.73998,                0.73065,                0.53022,                0.92663,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.82395,                0.70195,                 1.0501,                0.91106,                0.81739,                0.88919,                0.73788,                0.73107,                0.53053,                0.92584,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82546,                0.67368,                 1.0241,                0.90893,                0.81384,                0.88687,                0.73906,                0.73072,                0.52888,                0.92511,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84514,                0.71062,                 1.0364,                 0.9145,                0.80859,                0.88751,                0.74106,                0.72805,                0.52729,                0.92413,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.82359,                0.72454,                 1.0638,                0.92489,                0.80913,                 0.8873,                0.73929,                0.72397,                0.52783,                0.92279,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.84082,                0.69362,                  1.036,                0.93194,                0.80831,                0.88699,                0.74263,                0.72329,                0.52977,                0.92287,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.81301,                 0.6813,                 1.0199,                0.93368,                0.81166,                0.88806,                  0.742,                0.72219,                0.52954,                0.92235,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83889,                0.70237,                 1.0325,                0.93326,                 0.8121,                0.88809,                0.74441,                0.72061,                0.52826,                 0.9221,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.80945,                0.65192,                 1.0119,                0.93245,                0.81103,                0.88717,                0.74591,                0.71943,                 0.5269,                0.92169,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.84265,                 0.7026,                 1.0462,                0.93134,                0.81197,                0.88758,                0.74522,                0.71835,                0.52454,                0.92116,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.82083,                0.68286,                 1.0149,                0.92815,                0.81354,                0.88708,                0.74573,                0.71737,                0.52301,                0.92091,             2.4752e-05,             2.4752e-05,             2.4752e-05
